;0;Unnamed: 0;Unnamed: 4;aantal;beeld;omschrijving_sluit;sluit_barcode
9;;212.0;;500.0;202011726_layout_18.pdf;Rol 0213   900990004000 | labels tbv 0990004000;8720195286516.0
10;;213.0;;500.0;202011726_layout_18.pdf;Rol 0214   900990004000 | labels tbv 0990004000;8720195286516.0
11;;214.0;;500.0;202011726_layout_19.pdf;Rol 0215   900990005010 | labels tbv 0990005010;8720195286523.0
12;;215.0;;500.0;202011726_layout_19.pdf;Rol 0216   900990005010 | labels tbv 0990005010;8720195286523.0
13;;216.0;;500.0;202011726_layout_19.pdf;Rol 0217   900990005010 | labels tbv 0990005010;8720195286523.0
14;;217.0;;500.0;202011726_layout_19.pdf;Rol 0218   900990005010 | labels tbv 0990005010;8720195286523.0
15;;218.0;;500.0;202011726_layout_19.pdf;Rol 0219   900990005010 | labels tbv 0990005010;8720195286523.0
16;;219.0;;500.0;202011726_layout_19.pdf;Rol 0220   900990005010 | labels tbv 0990005010;8720195286523.0
17;;220.0;;500.0;202011726_layout_19.pdf;Rol 0221   900990005010 | labels tbv 0990005010;8720195286523.0
18;;221.0;;500.0;202011726_layout_19.pdf;Rol 0222   900990005010 | labels tbv 0990005010;8720195286523.0
19;;222.0;;500.0;202011726_layout_20.pdf;Rol 0223   900990005020 | labels tbv 0990005020;8720195286530.0
20;;223.0;;500.0;202011726_layout_20.pdf;Rol 0224   900990005020 | labels tbv 0990005020;8720195286530.0
21;;224.0;;500.0;202011726_layout_20.pdf;Rol 0225   900990005020 | labels tbv 0990005020;8720195286530.0
22;;225.0;;500.0;202011726_layout_20.pdf;Rol 0226   900990005020 | labels tbv 0990005020;8720195286530.0
23;;226.0;;500.0;202011726_layout_20.pdf;Rol 0227   900990005020 | labels tbv 0990005020;8720195286530.0
24;;227.0;;500.0;202011726_layout_20.pdf;Rol 0228   900990005020 | labels tbv 0990005020;8720195286530.0
25;;228.0;;500.0;202011726_layout_21.pdf;Rol 0229   900990005030 | labels tbv 0990005030;8720195286547.0
26;;229.0;;500.0;202011726_layout_21.pdf;Rol 0230   900990005030 | labels tbv 0990005030;8720195286547.0
