omschrijving_sluit;sluit_barcode;beeld;aantal
Rol 0782   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0783   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0784   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0785   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0786   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0787   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0788   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0789   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0790   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0791   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0792   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0793   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0794   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0795   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0796   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0797   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0798   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0799   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0800   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0801   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0802   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0803   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0804   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0805   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0806   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0807   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0808   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0809   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0810   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0811   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0812   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0813   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0814   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0815   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0816   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0817   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0818   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0819   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
